experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,300,6,294,6,6,0,0,0,0,0.5,0.5,0.0,,3,3,4,seed_4,,0.4919,0.5405,0.4909
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,300,6,294,3,3,0,0,0,3,0.5,0.6667,-0.3333,1.6667,2,1,5,t1_e6,0.4,0.4913,0.5862,0.4894
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,300,6,294,6,3,3,0,0,0,0.3333,0.6667,-0.3333,1.0,4,2,5,t2_e6,0.2,0.4878,0.5093,0.4874
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,300,6,294,4,0,3,1,0,2,0.6667,0.5,0.0,2.0,2,2,2,t1_e5,0.39814814814814814,0.4877,0.5816,0.4857
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,300,6,294,6,3,0,3,0,0,0.1667,0.8333,-0.6667,,5,1,2,t2_e3,0.4578125,0.4868,0.4632,0.4872
main,influenza_a,high_interaction,main_baseline_neutral,none,1,6,300,6,294,5,2,3,0,0,1,0.8333,1.0,1.0,2.0,0,5,2,t2_e3,0.424812030075188,0.4878,0.6677,0.4841
main,influenza_a,high_interaction,main_baseline_neutral,none,1,7,300,6,294,2,0,2,0,0,4,0.8333,1.0,1.0,1.5,0,2,2,t2_e3,0.5399999999999999,0.4903,0.6186,0.4877
main,influenza_a,high_interaction,main_baseline_neutral,none,1,8,300,6,294,6,0,6,0,0,0,1.0,1.0,1.0,2.0,0,6,2,t2_e3,0.5982236154649947,0.4936,0.6767,0.4898
main,influenza_a,high_interaction,main_baseline_neutral,none,2,1,300,6,294,6,6,0,0,0,0,0.5,0.5,0.0,,3,3,4,seed_4,,0.4918,0.5417,0.4908
main,influenza_a,high_interaction,main_baseline_neutral,none,2,2,300,6,294,6,4,1,1,0,0,1.0,1.0,1.0,0.0,0,6,5,t1_e6,0.6,0.4956,0.6646,0.4921
main,influenza_a,high_interaction,main_baseline_neutral,none,2,3,300,6,294,5,3,2,0,0,1,1.0,1.0,1.0,2.0,0,5,4,t1_e4,0.8333333333333334,0.502,0.6473,0.499
main,influenza_a,high_interaction,main_baseline_neutral,none,2,4,300,6,294,6,0,5,1,0,0,1.0,1.0,1.0,,0,6,2,t1_e4,0.8300000000000001,0.5081,0.6348,0.5056
