experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,1,450,15,0.6822,0.7582,0.4698,0.9352,0.6822,0.6267,0.9,0.9,0.6267,0.4442,0.1825,0.1825,0.6825,0.828,0.5553,0.4904,0.5528,0.0624,,0.6693,0.4904,0.5115,0.0211,85,202,0,127,85,75,0.6067,0.9,0.5912,0.5282,0.5533,0.8583,0.5373,0.512,30,570,443,"{""main_baseline_neutral"": 0.6067}","{""main_baseline_neutral"": 157}","{""main_baseline_neutral"": 0.5533}","{""main_baseline_neutral"": 0.0867}",0.1111,,0.5983,0.9639,0.575,600,0.931,0.8621,2,27,0,19,4,6,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,2,150,5,0.8667,0.8592,0.7184,2.3,0.8667,0.6167,1.0,1.0,0.6167,0.45,0.1667,0.1667,0.8621,0.975,0.5271,0.4912,0.5329,0.0417,,0.6478,0.4912,0.5041,0.0129,76,182,0,118,76,64,0.6008,1.0,0.5798,0.5052,0.5342,0.6834,0.5264,0.5053,30,570,480,"{""main_baseline_neutral"": 0.6008}","{""main_baseline_neutral"": 120}","{""main_baseline_neutral"": 0.5342}","{""main_baseline_neutral"": 0.0317}",0.0771,,0.5992,1.0,0.595,600,1.0,1.0,0,29,0,15,4,10,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,3,270,9,0.1519,0.8592,-0.6825,0.4752,0.1519,0.2217,0.0,0.0,0.2217,0.4358,-0.2141,-0.2141,0.141,0.1085,0.2527,0.4898,0.4399,-0.0499,,0.368,0.4898,0.4596,-0.0302,89,358,0,125,89,233,0.2233,0.0,0.2351,0.2558,0.4402,0.3041,0.4473,0.4598,30,570,471,"{""main_baseline_neutral"": 0.2233}","{""main_baseline_neutral"": 129}","{""main_baseline_neutral"": 0.4402}","{""main_baseline_neutral"": 0.0033}",-0.1831,,0.3267,0.0417,0.4325,600,1.0,-1.0,26,0,0,18,2,6,0,support_report_1,positive_leaning,high_consensus,9
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,4,210,7,0.7286,0.8458,0.5431,1.6966,0.7286,0.5833,0.9333,0.9333,0.5833,0.4542,0.1291,0.1291,0.7241,0.9132,0.5,0.4897,0.5281,0.0384,,0.6378,0.4897,0.5004,0.0107,77,174,0,112,77,62,0.5825,0.9333,0.564,0.5,0.5283,0.7044,0.5191,0.5004,30,570,479,"{""main_baseline_neutral"": 0.5825}","{""main_baseline_neutral"": 121}","{""main_baseline_neutral"": 0.5283}","{""main_baseline_neutral"": 0.05}",0.0458,,0.5817,1.0,0.5717,600,0.9333,0.8667,2,28,0,19,6,5,0,support_report_2,negative_leaning,high_consensus,7
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,5,450,15,0.4022,0.7431,-0.1214,0.899,0.4022,0.235,0.7,0.7,0.235,0.4417,-0.2067,-0.2067,0.4096,0.3881,0.1871,0.4905,0.4595,-0.031,,0.4799,0.4905,0.4531,-0.0374,90,422,0,136,90,286,0.2358,0.7,0.2114,0.1827,0.4593,0.5605,0.454,0.4535,30,570,457,"{""main_baseline_neutral"": 0.2358}","{""main_baseline_neutral"": 143}","{""main_baseline_neutral"": 0.4593}","{""main_baseline_neutral"": 0.03}",-0.2546,,0.3517,0.4528,0.4775,600,0.7,0.4,9,21,0,17,11,2,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,6,270,9,0.7815,0.8032,0.5869,1.0522,0.7815,0.6533,0.9667,0.9667,0.6533,0.4458,0.2075,0.2075,0.7805,0.9191,0.5754,0.4911,0.5557,0.0646,,0.6908,0.4911,0.5161,0.025,83,196,0,122,83,74,0.6392,0.9667,0.6219,0.555,0.556,0.7986,0.5433,0.5166,30,570,464,"{""main_baseline_neutral"": 0.6392}","{""main_baseline_neutral"": 136}","{""main_baseline_neutral"": 0.556}","{""main_baseline_neutral"": 0.09}",0.1296,,0.6067,1.0,0.5933,600,0.9643,0.9286,1,27,0,19,2,7,0,support_report_2,negative_leaning,high_consensus,9
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,7,450,15,0.54,0.7287,0.165,1.1523,0.54,0.4308,0.8333,0.8333,0.4308,0.445,-0.0142,-0.0142,0.5594,0.5946,0.3772,0.4896,0.501,0.0114,,0.5742,0.4896,0.4771,-0.0125,76,233,0,120,76,113,0.4208,0.8333,0.3991,0.3673,0.5,0.7003,0.4894,0.4749,30,570,452,"{""main_baseline_neutral"": 0.4208}","{""main_baseline_neutral"": 148}","{""main_baseline_neutral"": 0.5}","{""main_baseline_neutral"": 0.0617}",-0.0678,,0.4967,0.8276,0.5325,600,0.8571,0.7143,4,24,0,16,8,4,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,8,180,6,0.8222,0.8256,0.5878,1.6607,0.8222,0.6067,0.9667,0.9667,0.6067,0.4333,0.1734,0.1734,0.8282,0.9395,0.52,0.4889,0.535,0.0461,,0.6534,0.4889,0.5042,0.0153,90,172,0,119,90,53,0.5933,0.9667,0.5737,0.5032,0.5357,0.7228,0.5259,0.5051,30,570,476,"{""main_baseline_neutral"": 0.5933}","{""main_baseline_neutral"": 124}","{""main_baseline_neutral"": 0.5357}","{""main_baseline_neutral"": 0.0567}",0.0867,,0.5967,1.0,0.5892,600,0.9643,0.9286,1,27,0,17,5,6,0,support_report_2,negative_leaning,high_consensus,6
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,9,450,15,0.2933,0.722,-0.3794,0.7318,0.2933,0.1692,0.3333,0.3333,0.1692,0.4508,-0.2816,-0.2816,0.2706,0.223,0.1515,0.4915,0.4352,-0.0563,,0.3988,0.4915,0.4471,-0.0444,85,451,0,136,85,315,0.1517,0.3333,0.1421,0.1305,0.4344,0.3832,0.4371,0.4469,30,570,452,"{""main_baseline_neutral"": 0.1517}","{""main_baseline_neutral"": 148}","{""main_baseline_neutral"": 0.4344}","{""main_baseline_neutral"": 0.02}",-0.2993,,0.2917,0.2154,0.4342,600,0.68,-0.36,17,8,0,16,1,8,0,support_report_1,positive_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,10,150,5,0.8733,0.883,0.7393,1.7241,0.8733,0.615,0.9333,0.9333,0.615,0.435,0.18,0.18,0.8732,0.9669,0.5261,0.4896,0.5353,0.0457,,0.6518,0.4896,0.5059,0.0163,86,170,0,117,86,53,0.5958,0.9333,0.5781,0.5031,0.5351,0.686,0.5272,0.5056,30,570,479,"{""main_baseline_neutral"": 0.5958}","{""main_baseline_neutral"": 121}","{""main_baseline_neutral"": 0.5351}","{""main_baseline_neutral"": 0.0367}",0.0911,,0.5992,1.0,0.5908,600,0.9286,0.8571,2,26,0,17,4,7,0,support_report_2,negative_leaning,high_consensus,5
