experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,600,30,570,30,30,0,0,0,0,0.5,0.5,0.0,,15,15,4,seed_4,,0.4924,0.5303,0.4904
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,600,30,570,27,17,6,4,0,3,0.5667,0.5185,0.037,0.0,13,14,5,t1_e29,0.6,0.496,0.5312,0.4941
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,600,30,570,26,5,17,4,0,4,0.4333,0.5769,-0.1538,1.5,15,11,3,t1_e24,0.7550813008130081,0.5007,0.5247,0.4994
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,600,30,570,27,7,16,4,0,3,0.7667,0.7407,0.4815,1.6923,7,20,3,t1_e24,0.553698224852071,0.5057,0.6033,0.5006
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,600,30,570,28,8,14,6,0,2,0.6667,0.6786,0.3571,0.6,9,19,3,t1_e25,0.6305715889049223,0.5108,0.5784,0.5072
main,influenza_a,high_interaction,main_baseline_neutral,none,1,6,600,30,570,26,4,16,6,0,4,0.6333,0.6538,0.3077,0.6923,9,17,3,t1_e25,0.637132284820543,0.5151,0.6268,0.5093
main,influenza_a,high_interaction,main_baseline_neutral,none,1,7,600,30,570,27,6,16,5,0,3,0.7,0.7308,0.4615,1.1538,7,19,3,t1_e25,0.6259092425759092,0.5201,0.6178,0.515
main,influenza_a,high_interaction,main_baseline_neutral,none,1,8,600,30,570,25,4,15,6,0,5,0.6333,0.5833,0.1667,0.7308,10,14,3,t1_e25,0.6298463332361638,0.5239,0.6426,0.5177
main,influenza_a,high_interaction,main_baseline_neutral,none,1,9,600,30,570,25,5,13,7,0,5,0.7,0.72,0.44,1.1923,7,18,3,t1_e25,0.6101872569706929,0.5281,0.7305,0.5175
main,influenza_a,high_interaction,main_baseline_neutral,none,1,10,600,30,570,26,6,10,10,0,4,0.6333,0.6154,0.2308,0.8462,10,16,3,t1_e25,0.62881801086827,0.5315,0.6818,0.5236
main,influenza_a,high_interaction,main_baseline_neutral,none,1,11,600,30,570,29,6,18,5,0,1,0.7667,0.7586,0.5172,1.0769,7,22,3,t1_e25,0.6202608676589868,0.5357,0.6997,0.5271
main,influenza_a,high_interaction,main_baseline_neutral,none,1,12,600,30,570,28,8,15,5,0,2,0.7333,0.7143,0.4286,0.5385,8,20,3,t1_e25,0.633551673944687,0.5397,0.7552,0.5284
main,influenza_a,high_interaction,main_baseline_neutral,none,1,13,600,30,570,24,4,14,6,0,6,0.8333,0.8333,0.6667,0.6923,4,20,3,t1_e25,0.6395301699132611,0.5439,0.7968,0.5306
main,influenza_a,high_interaction,main_baseline_neutral,none,1,14,600,30,570,26,6,16,4,0,4,0.7667,0.84,0.68,1.3077,4,21,3,t1_e25,0.6537871533441492,0.5488,0.7266,0.5394
main,influenza_a,high_interaction,main_baseline_neutral,none,1,15,600,30,570,29,4,19,6,0,1,0.9,0.931,0.8621,0.7692,2,27,3,t1_e25,0.6648603016565348,0.5533,0.8583,0.5373
