experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,300,30,270,30,30,0,0,0,0,0.5,0.5,0.0,,15,15,4,seed_4,,0.4952,0.5291,0.4914
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,300,30,270,26,15,7,4,0,4,0.8667,0.8462,0.6923,1.5,4,22,5,t1_e29,0.6,0.5072,0.5965,0.4973
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,300,30,270,28,13,14,1,0,2,0.8333,0.8571,0.7143,1.4375,4,24,4,t1_e26,0.9375,0.524,0.6233,0.513
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,300,30,270,27,2,18,7,0,3,0.9667,0.963,0.9259,1.0385,1,26,4,t1_e26,0.8643620530412983,0.5405,0.706,0.5221
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,300,30,270,28,3,21,4,0,2,0.9333,0.9286,0.8571,0.8846,2,26,3,t1_e25,0.9057915057915057,0.5561,0.7384,0.5358
main,influenza_a,high_interaction,main_baseline_neutral,none,1,6,300,30,270,29,2,24,3,0,1,1.0,1.0,1.0,0.6923,0,29,3,t1_e25,0.9099077416766947,0.572,0.796,0.5471
main,influenza_a,high_interaction,main_baseline_neutral,none,2,1,300,30,270,30,30,0,0,0,0,0.5,0.5,0.0,,15,15,4,seed_4,,0.4951,0.5328,0.4909
main,influenza_a,high_interaction,main_baseline_neutral,none,2,2,300,30,270,26,17,6,3,0,4,0.8,0.8077,0.6154,1.25,5,21,5,t1_e28,0.6,0.5061,0.5921,0.4966
main,influenza_a,high_interaction,main_baseline_neutral,none,2,3,300,30,270,28,10,14,4,0,2,1.0,1.0,1.0,2.5625,0,28,3,t1_e22,0.8333333333333334,0.5244,0.6444,0.5111
main,influenza_a,high_interaction,main_baseline_neutral,none,2,4,300,30,270,27,9,13,5,0,3,0.9333,0.963,0.9259,1.1667,1,26,3,t1_e22,0.932185937040306,0.5413,0.7049,0.5232
main,influenza_a,high_interaction,main_baseline_neutral,none,2,5,300,30,270,30,6,20,4,0,0,1.0,1.0,1.0,0.4231,0,30,3,t1_e22,0.9352825552825553,0.5584,0.7624,0.5357
main,influenza_a,high_interaction,main_baseline_neutral,none,3,1,300,30,270,30,30,0,0,0,0,0.5,0.5,0.0,,15,15,4,seed_4,,0.4935,0.5321,0.4892
main,influenza_a,high_interaction,main_baseline_neutral,none,3,2,300,30,270,29,12,10,7,0,1,0.0333,0.9655,-0.931,1.3333,28,1,5,t1_e30,0.6,0.4899,0.4485,0.4945
main,influenza_a,high_interaction,main_baseline_neutral,none,3,3,300,30,270,25,5,15,5,0,5,0.4,0.64,-0.28,1.1,16,9,3,t1_e25,0.09740259740259741,0.4848,0.5225,0.4807
main,influenza_a,high_interaction,main_baseline_neutral,none,3,4,300,30,270,26,4,13,9,0,4,0.2667,0.7692,-0.5385,0.619,20,6,3,t1_e30,0.20664460193546064,0.4794,0.4592,0.4817
main,influenza_a,high_interaction,main_baseline_neutral,none,3,5,300,30,270,26,2,14,10,0,4,0.2667,0.7692,-0.5385,0.5,20,6,3,t1_e30,0.23350328210809154,0.4746,0.4644,0.4757
main,influenza_a,high_interaction,main_baseline_neutral,none,3,6,300,30,270,28,10,16,2,0,2,0.7,0.6786,0.3571,1.8077,9,19,3,t1_e30,0.22377570199001362,0.4782,0.5505,0.4702
