experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,21,225,15,0.6978,0.8798,0.5234,0.9333,0.6978,0.6017,1.0,1.0,0.6017,0.45,0.1517,0.1517,0.7109,0.8,0.5167,0.4901,0.5555,0.0654,,0.6751,0.4901,0.5043,0.0142,42,117,0,82,42,35,0.5933,1.0,0.5719,0.5048,0.5541,0.8381,0.5391,0.5033,15,285,210,"{""main_baseline_neutral"": 0.5933}","{""main_baseline_neutral"": 90}","{""main_baseline_neutral"": 0.5541}","{""main_baseline_neutral"": 0.13}",0.0667,,0.595,1.0,0.5917,300,1.0,1.0,0,14,0,0,14,0,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,22,75,5,0.8933,0.8937,0.7874,2.6667,0.8933,0.6333,1.0,1.0,0.6333,0.425,0.2083,0.2083,0.8841,0.971,0.5325,0.4878,0.5384,0.0506,,0.6474,0.4878,0.5058,0.018,61,86,0,65,61,21,0.6183,1.0,0.5982,0.513,0.54,0.6709,0.5331,0.5077,15,285,231,"{""main_baseline_neutral"": 0.6183}","{""main_baseline_neutral"": 69}","{""main_baseline_neutral"": 0.54}","{""main_baseline_neutral"": 0.0467}",0.1075,,0.6167,1.0,0.6083,300,1.0,1.0,0,14,0,0,14,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,23,75,5,0.8267,0.8845,0.769,2.6,0.8267,0.6283,1.0,1.0,0.6283,0.4433,0.185,0.185,0.8676,0.9286,0.537,0.4915,0.5361,0.0446,,0.6277,0.4915,0.5083,0.0168,40,87,0,62,40,25,0.6117,1.0,0.5912,0.513,0.5366,0.6676,0.5298,0.5081,15,285,230,"{""main_baseline_neutral"": 0.6117}","{""main_baseline_neutral"": 70}","{""main_baseline_neutral"": 0.5366}","{""main_baseline_neutral"": 0.0433}",0.0937,,0.605,1.0,0.6,300,1.0,1.0,0,15,0,0,15,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,24,225,15,0.7156,0.8196,0.5581,0.837,0.7156,0.7067,0.6,0.6,0.7067,0.4533,0.2534,0.2534,0.7381,0.8778,0.6333,0.4906,0.578,0.0874,,0.7066,0.4906,0.5228,0.0322,40,138,0,82,40,56,0.665,0.6,0.6684,0.6,0.5783,0.7893,0.5671,0.5223,15,285,210,"{""main_baseline_neutral"": 0.665}","{""main_baseline_neutral"": 90}","{""main_baseline_neutral"": 0.5783}","{""main_baseline_neutral"": 0.1467}",0.18,,0.6383,1.0,0.615,300,0.6429,0.2857,5,9,0,0,14,0,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,25,225,15,0.5956,0.768,0.1638,1.1704,0.5956,0.5617,0.6667,0.6667,0.5617,0.4517,0.11,0.11,0.6146,0.7833,0.4667,0.492,0.533,0.041,,0.622,0.492,0.4949,0.0029,39,105,0,83,39,22,0.5733,0.6667,0.5684,0.4881,0.5339,0.6312,0.5288,0.4946,15,285,210,"{""main_baseline_neutral"": 0.5733}","{""main_baseline_neutral"": 90}","{""main_baseline_neutral"": 0.5339}","{""main_baseline_neutral"": 0.1033}",0.015,,0.59,0.913,0.5717,300,0.6667,0.3333,5,10,0,0,15,0,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,26,75,5,0.8933,0.9094,0.8188,2.4,0.8933,0.6567,1.0,1.0,0.6567,0.4433,0.2134,0.2134,0.8873,0.9643,0.563,0.4901,0.5444,0.0543,,0.6506,0.4901,0.5121,0.022,34,100,0,67,34,33,0.6217,1.0,0.6018,0.5174,0.5437,0.6763,0.5367,0.5108,15,285,230,"{""main_baseline_neutral"": 0.6217}","{""main_baseline_neutral"": 70}","{""main_baseline_neutral"": 0.5437}","{""main_baseline_neutral"": 0.07}",0.1197,,0.6133,1.0,0.6067,300,1.0,1.0,0,15,0,0,15,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,27,165,11,0.6727,0.8272,0.3766,1.5301,0.6727,0.625,1.0,1.0,0.625,0.4483,0.1767,0.1767,0.6757,0.878,0.5298,0.4904,0.5454,0.055,,0.6507,0.4904,0.5058,0.0154,35,107,0,80,35,27,0.6067,1.0,0.586,0.5069,0.5451,0.712,0.5363,0.5061,15,285,218,"{""main_baseline_neutral"": 0.6067}","{""main_baseline_neutral"": 82}","{""main_baseline_neutral"": 0.5451}","{""main_baseline_neutral"": 0.1}",0.0815,,0.6167,1.0,0.59,300,1.0,1.0,0,13,0,0,13,0,0,support_report_2,negative_leaning,high_consensus,11
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,28,75,5,0.9067,0.9135,0.827,2.4,0.9067,0.6583,1.0,1.0,0.6583,0.4433,0.215,0.215,0.9028,0.9643,0.5652,0.4906,0.5439,0.0533,,0.6526,0.4906,0.5109,0.0203,46,107,0,67,46,40,0.6317,1.0,0.6123,0.5283,0.5433,0.67,0.5366,0.51,15,285,230,"{""main_baseline_neutral"": 0.6317}","{""main_baseline_neutral"": 70}","{""main_baseline_neutral"": 0.5433}","{""main_baseline_neutral"": 0.0767}",0.1219,,0.62,1.0,0.61,300,1.0,1.0,0,15,0,0,15,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,29,225,15,0.6,0.7936,0.2513,1.1556,0.6,0.485,0.9333,0.9333,0.485,0.4483,0.0367,0.0367,0.6059,0.6722,0.4048,0.4892,0.5172,0.028,,0.6014,0.4892,0.4811,-0.0081,39,125,0,81,39,44,0.51,0.9333,0.4877,0.4405,0.5175,0.736,0.506,0.4819,15,285,210,"{""main_baseline_neutral"": 0.51}","{""main_baseline_neutral"": 90}","{""main_baseline_neutral"": 0.5175}","{""main_baseline_neutral"": 0.0933}",-0.0435,,0.5383,0.875,0.56,300,0.9333,0.8667,1,14,0,0,15,0,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,30,75,5,0.8133,0.9031,0.8061,2.6667,0.8133,0.6333,0.9333,0.9333,0.6333,0.425,0.2083,0.2083,0.873,0.9275,0.5455,0.4897,0.5373,0.0476,,0.6347,0.4897,0.5083,0.0186,55,86,0,61,55,25,0.6017,0.9333,0.5842,0.5065,0.5371,0.6523,0.5311,0.5081,15,285,231,"{""main_baseline_neutral"": 0.6017}","{""main_baseline_neutral"": 69}","{""main_baseline_neutral"": 0.5371}","{""main_baseline_neutral"": 0.0533}",0.1205,,0.61,1.0,0.5967,300,0.9231,0.8462,1,12,0,0,13,0,0,support_report_2,negative_leaning,high_consensus,5
