experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,cell_persona_design,n_cells,mean_nsb,mean_gcr,mean_ssa,mean_final_nsb,mean_terminal_all_agents_nsb,mean_delta_all_agents_nsb,mean_terminal_active_nsb,mean_terminal_inactive_agents_nsb,mean_inactive_shift,mean_entry_all_agents_nsb,mean_delta_terminal_minus_entry,mean_active_agents_terminal_nsb,mean_public_thread_negative_share,mean_terminal_all_agents_latent_neg_mean,mean_terminal_active_agents_latent_neg_mean,mean_terminal_inactive_agents_latent_neg_mean,mean_delta_all_agents_latent_neg_mean,mean_delta_inactive_agents_latent_neg_mean,mean_terminal_panel_all_last_choice_nsb,mean_terminal_panel_active_last_choice_nsb,mean_terminal_panel_inactive_last_choice_nsb,mean_terminal_panel_never_active_last_choice_nsb,mean_terminal_panel_all_latent_neg_mean,mean_terminal_panel_active_latent_neg_mean,mean_terminal_panel_inactive_latent_neg_mean,mean_terminal_panel_never_active_latent_neg_mean,mean_terminal_nsb_by_persona,mean_active_count_by_persona,mean_prototype_latent_by_persona,mean_prototype_negative_ratio_by_persona,mean_final_gcr,mean_final_ssa,mean_final_timestep,stop_reason_counts
main,influenza_a,high_interaction,main_baseline_neutral,none,single_persona,30,0.8157,0.8719,0.6593,0.6455,0.6455,0.2011,0.9422,0.5528,0.1084,0.4444,0.2011,0.9422,0.8233,0.5484,0.6597,0.5096,0.0581,0.0194,0.6256,0.9422,0.6089,0.5281,0.5485,0.7081,0.5401,0.5097,"{""main_baseline_neutral"": 0.6256}","{""main_baseline_neutral"": 76.6333}","{""main_baseline_neutral"": 0.5485}","{""main_baseline_neutral"": 0.0873}",0.9505,0.9011,8.37,high_consensus:22; max_timestep:8
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,none,single_persona,30,0.8724,0.8931,0.7638,0.6558,0.6558,0.2132,0.9778,0.5618,0.1192,0.4427,0.2132,0.9778,0.8709,0.5464,0.6566,0.5109,0.0566,0.021,0.6278,0.9778,0.6094,0.5257,0.5464,0.694,0.5386,0.5108,"{""main_baseline_neutral"": 0.6278}","{""main_baseline_neutral"": 72.4333}","{""main_baseline_neutral"": 0.5464}","{""main_baseline_neutral"": 0.0696}",0.983,0.966,6.23,high_consensus:29; max_timestep:1
