experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,22,105,7,0.7619,0.8007,0.5503,1.4419,0.7619,0.54,1.0,1.0,0.54,0.425,0.115,0.115,0.8085,0.8952,0.4475,0.4878,0.5207,0.0329,,0.6439,0.4878,0.4886,0.0008,61,90,0,55,61,35,0.5583,1.0,0.5351,0.4706,0.5223,0.7409,0.5108,0.4902,15,285,238,"{""main_baseline_neutral"": 0.5583}","{""main_baseline_neutral"": 62}","{""main_baseline_neutral"": 0.5223}","{""main_baseline_neutral"": 0.0633}",0.0225,,0.5733,1.0,0.5683,300,1.0,1.0,0,14,0,4,4,6,0,support_report_2,negative_leaning,high_consensus,7
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,23,225,15,0.4933,0.6981,0.1283,1.039,0.4933,0.465,0.5333,0.5333,0.465,0.4433,0.0217,0.0217,0.5132,0.5211,0.4476,0.4915,0.505,0.0135,,0.5564,0.4915,0.4891,-0.0024,40,89,0,53,40,36,0.4783,0.5333,0.4754,0.4607,0.5056,0.6349,0.4988,0.4889,15,285,229,"{""main_baseline_neutral"": 0.4783}","{""main_baseline_neutral"": 71}","{""main_baseline_neutral"": 0.5056}","{""main_baseline_neutral"": 0.0467}",0.0043,,0.51,0.7826,0.525,300,0.5,0.0,6,6,0,8,2,2,0,split,mixed,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,24,75,5,0.88,0.8611,0.6956,1.8,0.88,0.555,1.0,1.0,0.555,0.4533,0.1017,0.1017,0.8714,0.9667,0.4521,0.4906,0.5212,0.0306,,0.6397,0.4906,0.4916,0.001,40,95,0,60,40,35,0.58,1.0,0.5579,0.4813,0.5215,0.6799,0.5132,0.4916,15,285,240,"{""main_baseline_neutral"": 0.58}","{""main_baseline_neutral"": 60}","{""main_baseline_neutral"": 0.5215}","{""main_baseline_neutral"": 0.0233}",-0.0012,,0.5867,1.0,0.5867,300,1.0,1.0,0,15,0,9,6,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,25,225,15,0.5422,0.7021,0.2387,0.9737,0.5422,0.4733,0.6,0.6,0.4733,0.4517,0.0216,0.0216,0.5611,0.5685,0.4427,0.492,0.511,0.019,,0.575,0.492,0.4905,-0.0015,39,94,0,62,39,32,0.4883,0.6,0.4825,0.4736,0.512,0.7256,0.5008,0.4903,15,285,227,"{""main_baseline_neutral"": 0.4883}","{""main_baseline_neutral"": 73}","{""main_baseline_neutral"": 0.512}","{""main_baseline_neutral"": 0.0533}",-0.009,,0.5183,0.7857,0.5317,300,0.6923,0.3846,4,9,0,7,1,5,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,26,75,5,0.88,0.869,0.7113,1.9333,0.88,0.5517,1.0,1.0,0.5517,0.4433,0.1084,0.1084,0.8676,0.975,0.4458,0.4901,0.5212,0.0311,,0.6357,0.4901,0.4925,0.0024,34,91,0,59,34,32,0.5833,1.0,0.5614,0.4833,0.5205,0.6736,0.5124,0.4913,15,285,240,"{""main_baseline_neutral"": 0.5833}","{""main_baseline_neutral"": 60}","{""main_baseline_neutral"": 0.5205}","{""main_baseline_neutral"": 0.0267}",0.0025,,0.5933,1.0,0.585,300,1.0,1.0,0,14,0,7,2,5,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,27,225,15,0.2356,0.7491,-0.3893,0.4867,0.2356,0.38,0.2667,0.2667,0.38,0.4483,-0.0683,-0.0683,0.2359,0.1667,0.4511,0.4904,0.4668,-0.0236,,0.3993,0.4904,0.4893,-0.0011,35,110,0,70,35,40,0.3983,0.2667,0.4053,0.4822,0.4664,0.3713,0.4714,0.4894,15,285,225,"{""main_baseline_neutral"": 0.3983}","{""main_baseline_neutral"": 75}","{""main_baseline_neutral"": 0.4664}","{""main_baseline_neutral"": 0.02}",0.0028,,0.43,0.1818,0.4617,300,0.7143,-0.4286,10,4,0,7,3,4,0,support_report_1,positive_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,28,75,5,0.8933,0.8987,0.7973,1.6316,0.8933,0.55,1.0,1.0,0.55,0.4433,0.1067,0.1067,0.8857,0.9732,0.4529,0.4906,0.5218,0.0312,,0.6568,0.4906,0.4909,0.0003,46,90,0,55,46,35,0.5717,1.0,0.5491,0.4795,0.5212,0.6892,0.5124,0.4902,15,285,244,"{""main_baseline_neutral"": 0.5717}","{""main_baseline_neutral"": 56}","{""main_baseline_neutral"": 0.5212}","{""main_baseline_neutral"": 0.0433}",0.0096,,0.58,1.0,0.5867,300,1.0,1.0,0,13,0,7,3,3,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,29,195,13,0.5692,0.838,0.2356,1.4923,0.5692,0.4933,1.0,1.0,0.4933,0.4483,0.045,0.045,0.5615,0.6154,0.4596,0.4892,0.512,0.0228,,0.5967,0.4892,0.4885,-0.0007,39,92,0,59,39,33,0.505,1.0,0.4789,0.4702,0.5125,0.7643,0.4993,0.4895,15,285,235,"{""main_baseline_neutral"": 0.505}","{""main_baseline_neutral"": 65}","{""main_baseline_neutral"": 0.5125}","{""main_baseline_neutral"": 0.0533}",0.0113,,0.535,1.0,0.5417,300,1.0,1.0,0,13,0,8,4,1,0,support_report_2,negative_leaning,high_consensus,13
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,30,75,5,0.8933,0.879,0.758,1.1111,0.8933,0.565,1.0,1.0,0.565,0.425,0.14,0.14,0.8857,0.9649,0.4712,0.4897,0.5211,0.0314,,0.6515,0.4897,0.4906,0.0009,55,85,0,57,55,28,0.58,1.0,0.5579,0.4897,0.5209,0.7037,0.5113,0.4904,15,285,243,"{""main_baseline_neutral"": 0.58}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.5209}","{""main_baseline_neutral"": 0.0333}",0.0462,,0.5867,1.0,0.5867,300,1.0,1.0,0,14,0,6,4,4,0,support_report_2,negative_leaning,high_consensus,5
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,1,165,11,0.7212,0.8485,0.5029,1.68,0.7212,0.5133,1.0,1.0,0.5133,0.435,0.0783,0.0783,0.7284,0.7538,0.4468,0.4909,0.528,0.0371,,0.6539,0.4909,0.4932,0.0023,47,98,0,59,47,39,0.5467,1.0,0.5228,0.483,0.528,0.8318,0.512,0.4919,15,285,235,"{""main_baseline_neutral"": 0.5467}","{""main_baseline_neutral"": 65}","{""main_baseline_neutral"": 0.528}","{""main_baseline_neutral"": 0.09}",0.0118,,0.5583,1.0,0.5683,300,1.0,1.0,0,15,0,7,8,0,0,support_report_2,negative_leaning,high_consensus,11
