experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,cell_persona_design,n_cells,mean_nsb,mean_gcr,mean_ssa,mean_final_nsb,mean_terminal_all_agents_nsb,mean_delta_all_agents_nsb,mean_terminal_active_nsb,mean_terminal_inactive_agents_nsb,mean_inactive_shift,mean_entry_all_agents_nsb,mean_delta_terminal_minus_entry,mean_active_agents_terminal_nsb,mean_public_thread_negative_share,mean_terminal_all_agents_latent_neg_mean,mean_terminal_active_agents_latent_neg_mean,mean_terminal_inactive_agents_latent_neg_mean,mean_delta_all_agents_latent_neg_mean,mean_delta_inactive_agents_latent_neg_mean,mean_terminal_panel_all_last_choice_nsb,mean_terminal_panel_active_last_choice_nsb,mean_terminal_panel_inactive_last_choice_nsb,mean_terminal_panel_never_active_last_choice_nsb,mean_terminal_panel_all_latent_neg_mean,mean_terminal_panel_active_latent_neg_mean,mean_terminal_panel_inactive_latent_neg_mean,mean_terminal_panel_never_active_latent_neg_mean,mean_terminal_nsb_by_persona,mean_active_count_by_persona,mean_prototype_latent_by_persona,mean_prototype_negative_ratio_by_persona,mean_final_gcr,mean_final_ssa,mean_final_timestep,stop_reason_counts
main,influenza_a,high_interaction,main_baseline_neutral,none,single_persona,30,0.7229,0.8363,0.495,0.5153,0.5153,0.0709,0.8489,0.4475,0.003,0.4444,0.0709,0.8489,0.724,0.5167,0.6173,0.4906,0.0265,0.0004,0.5377,0.8489,0.5213,0.4765,0.5169,0.6894,0.5079,0.4907,"{""main_baseline_neutral"": 0.5377}","{""main_baseline_neutral"": 63.3667}","{""main_baseline_neutral"": 0.5169}","{""main_baseline_neutral"": 0.0485}",0.9083,0.6915,8.87,high_consensus:23; max_timestep:7
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,none,single_persona,30,0.8801,0.8958,0.7762,0.5474,0.5474,0.1047,0.9911,0.448,0.0053,0.4427,0.1047,0.9911,0.8755,0.5242,0.661,0.4912,0.0344,0.0013,0.5753,0.9911,0.5534,0.4828,0.5242,0.7204,0.5139,0.4911,"{""main_baseline_neutral"": 0.5753}","{""main_baseline_neutral"": 58.3333}","{""main_baseline_neutral"": 0.5242}","{""main_baseline_neutral"": 0.0447}",0.9921,0.9841,5.9,high_consensus:30
