experiment_family,scenario_name,condition_name,agent_persona_name,chat_atmosphere,n_rows,mean_nsb,mean_cb,mean_sb,mean_eb
main,influenza_a,high_interaction,main_baseline_neutral,none,4020,0.6704,0.6704,0.49,0.6652
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,none,2250,0.9027,0.9027,0.7356,0.8978
