experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,cell_persona_design,n_cells,mean_nsb,mean_gcr,mean_ssa,mean_final_nsb,mean_terminal_all_agents_nsb,mean_delta_all_agents_nsb,mean_terminal_active_nsb,mean_terminal_inactive_agents_nsb,mean_inactive_shift,mean_entry_all_agents_nsb,mean_delta_terminal_minus_entry,mean_active_agents_terminal_nsb,mean_public_thread_negative_share,mean_terminal_all_agents_latent_neg_mean,mean_terminal_active_agents_latent_neg_mean,mean_terminal_inactive_agents_latent_neg_mean,mean_delta_all_agents_latent_neg_mean,mean_delta_inactive_agents_latent_neg_mean,mean_terminal_panel_all_last_choice_nsb,mean_terminal_panel_active_last_choice_nsb,mean_terminal_panel_inactive_last_choice_nsb,mean_terminal_panel_never_active_last_choice_nsb,mean_terminal_panel_all_latent_neg_mean,mean_terminal_panel_active_latent_neg_mean,mean_terminal_panel_inactive_latent_neg_mean,mean_terminal_panel_never_active_latent_neg_mean,mean_terminal_nsb_by_persona,mean_active_count_by_persona,mean_prototype_latent_by_persona,mean_prototype_negative_ratio_by_persona,mean_final_gcr,mean_final_ssa,mean_final_timestep,stop_reason_counts
main,influenza_a,high_interaction,main_baseline_neutral,none,single_persona,30,0.7105,0.834,0.4892,0.5279,0.5279,0.0835,0.8689,0.4619,0.0175,0.4444,0.0835,0.8689,0.7158,0.5202,0.6212,0.493,0.0299,0.0028,0.5357,0.8689,0.5181,0.4741,0.5204,0.7126,0.5102,0.4931,"{""main_baseline_neutral"": 0.5357}","{""main_baseline_neutral"": 63.5667}","{""main_baseline_neutral"": 0.5204}","{""main_baseline_neutral"": 0.0512}",0.9243,0.7381,8.93,high_consensus:23; max_timestep:7
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,none,single_persona,30,0.9027,0.9095,0.8182,0.5915,0.5915,0.1488,0.9956,0.5007,0.058,0.4427,0.1488,0.9956,0.8982,0.5326,0.6694,0.5008,0.0428,0.011,0.5904,0.9956,0.5691,0.5002,0.5326,0.7117,0.5231,0.5008,"{""main_baseline_neutral"": 0.5904}","{""main_baseline_neutral"": 56.6667}","{""main_baseline_neutral"": 0.5326}","{""main_baseline_neutral"": 0.0477}",0.995,0.99,5.0,high_consensus:30
