experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,1,75,5,0.8667,0.8691,0.6849,1.7059,0.8667,0.545,1.0,1.0,0.545,0.4383,0.1067,0.1067,0.8714,0.9569,0.4463,0.4901,0.5194,0.0293,,0.6402,0.4901,0.4904,0.0003,51,89,0,57,51,32,0.5733,1.0,0.5509,0.4814,0.5211,0.7026,0.5116,0.4928,15,285,242,"{""main_baseline_neutral"": 0.5733}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.5211}","{""main_baseline_neutral"": 0.0267}",0.008,,0.5783,1.0,0.5783,300,1.0,1.0,0,14,0,6,5,3,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,2,75,5,0.8267,0.839,0.6691,1.1429,0.8267,0.5567,1.0,1.0,0.5567,0.45,0.1067,0.1067,0.8169,0.9016,0.4686,0.4914,0.5178,0.0264,,0.6197,0.4914,0.4918,0.0004,40,90,0,59,40,31,0.5667,1.0,0.5439,0.477,0.5189,0.6694,0.511,0.4922,15,285,239,"{""main_baseline_neutral"": 0.5667}","{""main_baseline_neutral"": 61}","{""main_baseline_neutral"": 0.5189}","{""main_baseline_neutral"": 0.03}",0.0186,,0.5817,1.0,0.5767,300,1.0,1.0,0,15,0,5,5,5,0,support_report_2,negative_leaning,max_timestep,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,3,75,5,0.76,0.7607,0.4681,1.2941,0.76,0.5233,0.8,0.8,0.5233,0.435,0.0883,0.0883,0.7571,0.8793,0.438,0.4895,0.5131,0.0236,,0.6148,0.4895,0.4887,-0.0008,43,82,0,50,43,32,0.5567,0.8,0.5439,0.4835,0.5142,0.6711,0.506,0.4901,15,285,242,"{""main_baseline_neutral"": 0.5567}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.5142}","{""main_baseline_neutral"": 0.0267}",0.003,,0.5683,1.0,0.57,300,0.7857,0.5714,3,11,0,10,4,0,0,support_report_2,negative_leaning,max_timestep,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,4,75,5,0.9067,0.9111,0.8222,1.6667,0.9067,0.5483,1.0,1.0,0.5483,0.4633,0.085,0.085,0.8971,0.9833,0.4396,0.4902,0.5236,0.0334,,0.6536,0.4902,0.4911,0.0009,32,101,0,60,32,41,0.58,1.0,0.5579,0.4792,0.5251,0.6749,0.5172,0.492,15,285,240,"{""main_baseline_neutral"": 0.58}","{""main_baseline_neutral"": 60}","{""main_baseline_neutral"": 0.5251}","{""main_baseline_neutral"": 0.03}",-0.0237,,0.5917,1.0,0.5967,300,1.0,1.0,0,15,0,9,2,4,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,5,75,5,0.9067,0.9123,0.8246,1.5,0.9067,0.5417,1.0,1.0,0.5417,0.4483,0.0934,0.0934,0.9014,0.9825,0.4383,0.4911,0.5227,0.0316,,0.6566,0.4911,0.4913,0.0002,41,97,0,57,41,40,0.5783,1.0,0.5561,0.4835,0.5223,0.7144,0.5122,0.4911,15,285,243,"{""main_baseline_neutral"": 0.5783}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.5223}","{""main_baseline_neutral"": 0.0433}",-0.01,,0.5833,1.0,0.585,300,1.0,1.0,0,15,0,10,1,4,0,support_report_2,negative_leaning,high_consensus,5
