experiment_family,scenario_name,condition_name,agent_persona_name,chat_atmosphere,n_rows,mean_nsb,mean_cb,mean_sb,mean_eb
main,influenza_a,high_interaction,main_baseline_neutral,none,2250,0.7093,0.7093,0.6093,0.6916
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,none,2250,0.4951,0.4951,0.4009,0.4796
