experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,11,75,5,0.9067,0.9135,0.827,0.3529,0.9067,0.6033,1.0,1.0,0.6033,0.445,0.1583,0.1583,0.9067,0.931,0.5248,0.4921,0.538,0.0459,,0.6665,0.4921,0.5072,0.0151,39,80,0,52,39,28,0.59,1.0,0.5684,0.5083,0.5395,0.7341,0.5293,0.5091,15,285,242,"{""main_baseline_neutral"": 0.59}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.5395}","{""main_baseline_neutral"": 0.07}",0.0798,,0.5867,1.0,0.585,300,1.0,1.0,0,15,0,0,0,15,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,12,75,5,0.9067,0.9135,0.827,0.4375,0.9067,0.6283,1.0,1.0,0.6283,0.445,0.1833,0.1833,0.9067,0.9322,0.5539,0.4916,0.5395,0.0479,,0.6641,0.4916,0.509,0.0174,39,91,0,55,39,36,0.595,1.0,0.5737,0.5124,0.5384,0.7396,0.5278,0.5081,15,285,241,"{""main_baseline_neutral"": 0.595}","{""main_baseline_neutral"": 59}","{""main_baseline_neutral"": 0.5384}","{""main_baseline_neutral"": 0.0667}",0.1089,,0.59,1.0,0.5867,300,1.0,1.0,0,15,0,0,0,15,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,13,75,5,0.2667,0.7159,-0.337,0.7222,0.2667,0.3883,0.2,0.2,0.3883,0.4383,-0.05,-0.05,0.2703,0.3421,0.3992,0.4884,0.4805,-0.0079,,0.4711,0.4884,0.4827,-0.0057,39,101,0,50,39,51,0.4033,0.2,0.414,0.4259,0.4794,0.4283,0.4821,0.481,15,285,243,"{""main_baseline_neutral"": 0.4033}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.4794}","{""main_baseline_neutral"": 0.0067}",-0.0391,,0.455,0.25,0.4917,300,0.8,-0.6,12,3,0,0,0,15,0,support_report_1,positive_leaning,discussion_stalled,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,14,75,5,0.72,0.7277,0.1935,0.8235,0.72,0.56,0.8,0.8,0.56,0.4467,0.1133,0.1133,0.7297,0.8362,0.4938,0.4903,0.5207,0.0304,,0.6057,0.4903,0.5004,0.0101,38,76,0,53,38,23,0.5667,0.8,0.5544,0.5021,0.5209,0.6149,0.5159,0.5008,15,285,242,"{""main_baseline_neutral"": 0.5667}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.5209}","{""main_baseline_neutral"": 0.0267}",0.0471,,0.5667,1.0,0.57,300,0.8,0.6,3,12,0,0,0,15,0,support_report_2,negative_leaning,discussion_stalled,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,15,75,5,0.6267,0.7175,0.1185,1.4444,0.6267,0.5333,0.8,0.8,0.5333,0.44,0.0933,0.0933,0.6438,0.7456,0.4835,0.4901,0.5095,0.0194,,0.5702,0.4901,0.4952,0.0051,46,72,0,50,46,22,0.5433,0.8,0.5298,0.4979,0.5116,0.5961,0.5071,0.4972,15,285,243,"{""main_baseline_neutral"": 0.5433}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.5116}","{""main_baseline_neutral"": 0.0233}",0.0435,,0.5467,1.0,0.54,300,0.8,0.6,3,12,0,0,0,15,0,support_report_2,negative_leaning,discussion_stalled,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,16,75,5,0.9067,0.9135,0.827,0.1765,0.9067,0.625,1.0,1.0,0.625,0.4283,0.1967,0.1967,0.9067,0.9224,0.5537,0.4873,0.54,0.0527,,0.6676,0.4873,0.5094,0.0221,47,81,0,53,47,28,0.5917,1.0,0.5702,0.5124,0.5405,0.7631,0.5288,0.5095,15,285,242,"{""main_baseline_neutral"": 0.5917}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.5405}","{""main_baseline_neutral"": 0.08}",0.1254,,0.5917,1.0,0.585,300,1.0,1.0,0,15,0,0,0,15,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,17,75,5,0.2667,0.7667,-0.4527,0.8333,0.2667,0.3767,0.2,0.2,0.3767,0.465,-0.0883,-0.0883,0.274,0.307,0.393,0.49,0.481,-0.009,,0.47,0.49,0.4836,-0.0064,33,100,0,48,33,52,0.4267,0.2,0.4386,0.4547,0.4823,0.4369,0.4847,0.4852,15,285,243,"{""main_baseline_neutral"": 0.4267}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.4823}","{""main_baseline_neutral"": 0.0033}",-0.072,,0.4583,0.25,0.4967,300,0.8,-0.6,12,3,0,0,0,15,0,support_report_1,positive_leaning,discussion_stalled,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,18,75,5,0.8933,0.897,0.794,0.7059,0.8933,0.6333,1.0,1.0,0.6333,0.455,0.1783,0.1783,0.8933,0.931,0.562,0.4918,0.5413,0.0495,,0.6684,0.4918,0.5109,0.0191,33,96,0,52,33,44,0.595,1.0,0.5737,0.5145,0.541,0.7378,0.5307,0.5105,15,285,242,"{""main_baseline_neutral"": 0.595}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.541}","{""main_baseline_neutral"": 0.0833}",0.107,,0.59,1.0,0.585,300,1.0,1.0,0,15,0,0,0,15,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,19,75,5,0.8933,0.9116,0.8233,1.0,0.8933,0.6033,1.0,1.0,0.6033,0.4467,0.1566,0.1566,0.8933,0.9407,0.5207,0.4918,0.535,0.0432,,0.6528,0.4918,0.5062,0.0144,44,92,0,52,44,40,0.585,1.0,0.5632,0.5021,0.5333,0.7344,0.5228,0.5044,15,285,241,"{""main_baseline_neutral"": 0.585}","{""main_baseline_neutral"": 59}","{""main_baseline_neutral"": 0.5333}","{""main_baseline_neutral"": 0.06}",0.074,,0.5883,1.0,0.5867,300,1.0,1.0,0,15,0,0,0,15,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,20,75,5,0.6933,0.8193,0.321,1.75,0.6933,0.5567,1.0,1.0,0.5567,0.4433,0.1134,0.1134,0.7222,0.822,0.4917,0.4877,0.5192,0.0315,,0.6021,0.4877,0.4989,0.0112,42,78,0,54,42,24,0.5667,1.0,0.5439,0.4979,0.52,0.6425,0.5135,0.4999,15,285,241,"{""main_baseline_neutral"": 0.5667}","{""main_baseline_neutral"": 59}","{""main_baseline_neutral"": 0.52}","{""main_baseline_neutral"": 0.02}",0.0484,,0.5717,1.0,0.5617,300,1.0,1.0,0,15,0,0,0,15,0,support_report_2,negative_leaning,discussion_stalled,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,21,75,5,0.8933,0.8892,0.7785,0.9375,0.8933,0.6333,0.9333,0.9333,0.6333,0.45,0.1833,0.1833,0.8933,0.9322,0.5602,0.4901,0.5426,0.0525,,0.6696,0.4901,0.5116,0.0215,42,86,0,53,42,33,0.6,0.9333,0.5825,0.5228,0.5412,0.7446,0.5305,0.5103,15,285,241,"{""main_baseline_neutral"": 0.6}","{""main_baseline_neutral"": 59}","{""main_baseline_neutral"": 0.5412}","{""main_baseline_neutral"": 0.0767}",0.1102,,0.5917,1.0,0.5867,300,0.9333,0.8667,1,14,0,0,0,15,0,support_report_2,negative_leaning,high_consensus,5
