experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,29,225,15,0.6978,0.8,0.4573,1.5646,0.6978,0.6317,0.8,0.8,0.6317,0.4483,0.1834,0.1834,0.729,0.8782,0.545,0.4892,0.5542,0.065,,0.6876,0.4892,0.5074,0.0182,39,99,0,67,39,32,0.62,0.8,0.6105,0.5383,0.5546,0.8177,0.5407,0.5079,15,285,222,"{""main_baseline_neutral"": 0.62}","{""main_baseline_neutral"": 78}","{""main_baseline_neutral"": 0.5546}","{""main_baseline_neutral"": 0.1}",0.0967,,0.6167,1.0,0.5867,300,0.8,0.6,3,12,0,15,0,0,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,30,120,8,0.9167,0.9278,0.8557,0.4259,0.9167,0.6783,0.9333,0.9333,0.6783,0.425,0.2533,0.2533,0.9167,0.9394,0.6047,0.4897,0.5667,0.077,,0.7311,0.4897,0.5204,0.0307,55,111,0,60,55,51,0.65,0.9333,0.6351,0.5726,0.5665,0.8203,0.5532,0.5202,15,285,234,"{""main_baseline_neutral"": 0.65}","{""main_baseline_neutral"": 66}","{""main_baseline_neutral"": 0.5665}","{""main_baseline_neutral"": 0.13}",0.1797,,0.62,1.0,0.5967,300,0.9333,0.8667,1,14,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,8
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,1,225,15,0.3733,0.7768,-0.0993,0.6759,0.3733,0.2733,0.4,0.4,0.2733,0.435,-0.1617,-0.1617,0.3836,0.3187,0.2568,0.4909,0.4634,-0.0275,,0.4723,0.4909,0.4602,-0.0307,47,180,0,73,47,107,0.2633,0.4,0.2561,0.2455,0.4634,0.4261,0.4654,0.4601,15,285,220,"{""main_baseline_neutral"": 0.2633}","{""main_baseline_neutral"": 80}","{""main_baseline_neutral"": 0.4634}","{""main_baseline_neutral"": 0.04}",-0.1782,,0.3783,0.3871,0.4817,300,0.6,-0.2,9,6,0,15,0,0,0,support_report_1,positive_leaning,max_timestep,15
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,2,90,6,0.8556,0.8884,0.7768,0.7857,0.8556,0.6267,1.0,1.0,0.6267,0.4483,0.1784,0.1784,0.8556,0.9274,0.5483,0.49,0.5408,0.0508,,0.6656,0.49,0.5083,0.0183,39,90,0,57,39,33,0.595,1.0,0.5737,0.5063,0.5412,0.7478,0.5303,0.5082,15,285,238,"{""main_baseline_neutral"": 0.595}","{""main_baseline_neutral"": 62}","{""main_baseline_neutral"": 0.5412}","{""main_baseline_neutral"": 0.0733}",0.1,,0.59,1.0,0.59,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,6
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,3,225,15,0.4044,0.7016,-0.0876,1.223,0.4044,0.2783,0.5333,0.5333,0.2783,0.4467,-0.1684,-0.1684,0.4062,0.3831,0.2422,0.4894,0.4685,-0.0209,,0.4948,0.4894,0.4595,-0.0299,38,187,0,70,38,117,0.2883,0.5333,0.2754,0.2578,0.4691,0.4932,0.4678,0.4609,15,285,223,"{""main_baseline_neutral"": 0.2883}","{""main_baseline_neutral"": 77}","{""main_baseline_neutral"": 0.4691}","{""main_baseline_neutral"": 0.0433}",-0.2045,,0.3817,0.5,0.495,300,0.5333,0.0667,7,8,0,15,0,0,0,support_report_2,negative_leaning,max_timestep,15
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,4,75,5,0.8933,0.9019,0.8038,0.4,0.8933,0.6217,1.0,1.0,0.6217,0.4383,0.1834,0.1834,0.8933,0.925,0.5458,0.49,0.5386,0.0486,,0.6592,0.49,0.5084,0.0184,47,87,0,53,47,34,0.5883,1.0,0.5667,0.5042,0.5385,0.7011,0.5299,0.5085,15,285,240,"{""main_baseline_neutral"": 0.5883}","{""main_baseline_neutral"": 60}","{""main_baseline_neutral"": 0.5385}","{""main_baseline_neutral"": 0.0633}",0.1075,,0.585,1.0,0.5867,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,5
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,5,225,15,0.1778,0.8119,-0.5396,0.4828,0.1778,0.0883,0.4,0.4,0.0883,0.455,-0.3667,-0.3667,0.1786,0.1187,0.0773,0.4916,0.4086,-0.083,,0.3316,0.4916,0.4366,-0.055,33,263,0,77,33,186,0.0783,0.4,0.0614,0.0523,0.4096,0.3297,0.4138,0.4374,15,285,220,"{""main_baseline_neutral"": 0.0783}","{""main_baseline_neutral"": 80}","{""main_baseline_neutral"": 0.4096}","{""main_baseline_neutral"": 0.01}",-0.3777,,0.2,0.0755,0.38,300,0.6,-0.2,9,6,0,15,0,0,0,support_report_1,positive_leaning,max_timestep,15
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,6,225,15,0.72,0.819,0.5568,1.0658,0.72,0.5933,1.0,1.0,0.5933,0.4367,0.1566,0.1566,0.7265,0.774,0.5352,0.4865,0.5483,0.0618,,0.6882,0.4865,0.5034,0.0169,46,94,0,56,46,38,0.5733,1.0,0.5509,0.5066,0.5495,0.849,0.5337,0.504,15,285,227,"{""main_baseline_neutral"": 0.5733}","{""main_baseline_neutral"": 73}","{""main_baseline_neutral"": 0.5495}","{""main_baseline_neutral"": 0.1067}",0.0985,,0.575,1.0,0.5767,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,max_timestep,15
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,7,225,15,0.8178,0.8518,0.6753,0.8919,0.8178,0.7067,1.0,1.0,0.7067,0.45,0.2567,0.2567,0.8178,0.9026,0.639,0.4899,0.5825,0.0926,,0.7497,0.4899,0.5248,0.0349,42,126,0,64,42,62,0.6967,1.0,0.6807,0.6256,0.5827,0.9165,0.5651,0.5247,15,285,223,"{""main_baseline_neutral"": 0.6967}","{""main_baseline_neutral"": 77}","{""main_baseline_neutral"": 0.5827}","{""main_baseline_neutral"": 0.1267}",0.189,,0.65,1.0,0.605,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,max_timestep,15
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,single_persona,none,8,105,7,0.7429,0.8811,0.4875,1.4667,0.7429,0.5683,1.0,1.0,0.5683,0.4583,0.11,0.11,0.7573,0.875,0.4917,0.4901,0.5268,0.0367,,0.6362,0.4901,0.4995,0.0094,39,83,0,55,39,28,0.5683,1.0,0.5456,0.4938,0.5241,0.7174,0.5139,0.4966,15,285,240,"{""main_baseline_neutral"": 0.5683}","{""main_baseline_neutral"": 60}","{""main_baseline_neutral"": 0.5241}","{""main_baseline_neutral"": 0.07}",0.0334,,0.5733,1.0,0.5717,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,7
