experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,cell_persona_design,n_cells,mean_nsb,mean_gcr,mean_ssa,mean_final_nsb,mean_terminal_all_agents_nsb,mean_delta_all_agents_nsb,mean_terminal_active_nsb,mean_terminal_inactive_agents_nsb,mean_inactive_shift,mean_entry_all_agents_nsb,mean_delta_terminal_minus_entry,mean_active_agents_terminal_nsb,mean_public_thread_negative_share,mean_terminal_all_agents_latent_neg_mean,mean_terminal_active_agents_latent_neg_mean,mean_terminal_inactive_agents_latent_neg_mean,mean_delta_all_agents_latent_neg_mean,mean_delta_inactive_agents_latent_neg_mean,mean_terminal_panel_all_last_choice_nsb,mean_terminal_panel_active_last_choice_nsb,mean_terminal_panel_inactive_last_choice_nsb,mean_terminal_panel_never_active_last_choice_nsb,mean_terminal_panel_all_latent_neg_mean,mean_terminal_panel_active_latent_neg_mean,mean_terminal_panel_inactive_latent_neg_mean,mean_terminal_panel_never_active_latent_neg_mean,mean_terminal_nsb_by_persona,mean_active_count_by_persona,mean_prototype_latent_by_persona,mean_prototype_negative_ratio_by_persona,mean_final_gcr,mean_final_ssa,mean_final_timestep,stop_reason_counts
main,influenza_a,high_interaction,main_baseline_neutral,none,single_persona,30,0.7322,0.828,0.5131,0.5643,0.5643,0.1199,0.8667,0.4968,0.0524,0.4444,0.1199,0.8667,0.7452,0.5296,0.632,0.5004,0.0393,0.0102,0.5562,0.8667,0.5398,0.4884,0.5298,0.715,0.52,0.5005,"{""main_baseline_neutral"": 0.5562}","{""main_baseline_neutral"": 67.9333}","{""main_baseline_neutral"": 0.5298}","{""main_baseline_neutral"": 0.0681}",0.8949,0.741,9.3,high_consensus:20; max_timestep:10
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,none,single_persona,30,0.6469,0.8089,0.3685,0.4828,0.4828,0.0401,0.8333,0.4211,-0.0216,0.4427,0.0401,0.8333,0.6535,0.5119,0.5945,0.4878,0.0221,-0.002,0.4769,0.8333,0.4582,0.4135,0.5119,0.6691,0.5036,0.4878,"{""main_baseline_neutral"": 0.4769}","{""main_baseline_neutral"": 70.4667}","{""main_baseline_neutral"": 0.5119}","{""main_baseline_neutral"": 0.0597}",0.8521,0.6775,10.97,high_consensus:13; max_timestep:17
