experiment_family,scenario_name,condition_name,agent_persona_name,chat_atmosphere,n_rows,mean_nsb,mean_cb,mean_sb,mean_eb
main,influenza_a,high_interaction,main_baseline_neutral,none,4185,0.6621,0.6616,0.4707,0.66
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,none,4935,0.5779,0.5777,0.4265,0.5757
