scenario_name,scenario_label,stage,stage_label,analysis_unit,n,mean,sd,se,ci95_low,ci95_high
influenza_a,甲流,P1,P1 独立判断,independent model judgment,300,0.51,0.49570057852008836,0.02861928624460262,0.4536792574917635,0.5663207425082365
influenza_a,甲流,P2,P2 静态评论,independent model judgment,300,0.42,0.4943831669050469,0.028543225449544848,0.36382893978701036,0.4761710602129896
influenza_a,甲流,P3_entry,P3 进入互动前,300-agent discussion cell,30,0.44443666666666676,0.00952240491694713,0.00173854532490335,0.4408809422339832,0.4479923910993503
influenza_a,甲流,P3_terminal,P3 高阶互动终局,300-agent discussion cell,30,0.5372733333333334,0.13957096065253424,0.025482054507352987,0.4851566801124538,0.5893899865542129
mycoplasma_pneumonia,支原体肺炎,P1,P1 独立判断,independent model judgment,300,0.53,0.4914996504113872,0.028376745547162133,0.4741565605262125,0.5858434394737875
mycoplasma_pneumonia,支原体肺炎,P2,P2 静态评论,independent model judgment,300,0.47,0.4999331058930722,0.02886365132641709,0.4131983641971771,0.5268016358028228
mycoplasma_pneumonia,支原体肺炎,P3_entry,P3 进入互动前,300-agent discussion cell,30,0.6104433333333332,0.00993043678357824,0.001813041410748283,0.6067352472976567,0.6141514193690097
mycoplasma_pneumonia,支原体肺炎,P3_terminal,P3 高阶互动终局,300-agent discussion cell,30,0.7996133333333333,0.014710463865100802,0.002685750963426781,0.7941203558515464,0.8051063108151202
