model,scenario_name,p1_mean,p1_sd,p2_mean,p2_sd,p3_entry_mean,p3_entry_sd,p3_terminal_mean,p3_terminal_sd,p2_minus_p1,p3_terminal_minus_p2,p3_delta_mean,p3_delta_sd,public_negative_share_mean,high_order_effect_preserved,within_p3_increase
GLM-4,influenza_a,0.5,0.5085476277156078,0.4666666666666667,0.5074162634049248,0.44443666666666665,0.00952240491694713,0.5372733333333334,0.13957096065253424,-0.033333333333333326,0.0706066666666667,0.09283666666666666,0.13991982798863004,0.7212166666666666,True,True
GLM-4,mycoplasma_pneumonia,0.6666666666666666,0.47946330148538413,0.43333333333333335,0.5040069329937309,0.6104433333333333,0.00993043678357824,0.7996133333333333,0.014710463865100804,-0.23333333333333328,0.36627999999999994,0.18917,0.013661098809746424,0.9330966666666667,True,True
DeepSeek-V4-Flash,influenza_a,0.6,0.5163977794943223,0.0,0.0,0.44483,0.009499479517905763,0.62833,0.02231979938181444,-0.6,0.62833,0.1835,0.018324785886273752,0.84615,True,True
DeepSeek-V4-Flash,mycoplasma_pneumonia,0.6,0.5163977794943223,0.4,0.5163977794943223,0.61383,0.013543186068606208,0.82716,0.053831717210003405,-0.19999999999999996,0.42716,0.21333,0.05660596847212021,0.86391,True,True
GPT-5.1,influenza_a,0.0,0.0,0.0,0.0,0.44483,0.009499479517905763,0.52966,0.14952420985691023,0.0,0.52966,0.08483,0.14655924134022466,0.72624,True,True
GPT-5.1,mycoplasma_pneumonia,0.4,0.5163977794943223,0.0,0.0,0.446,0.00761825293474677,0.31866,0.15854315360669333,-0.4,0.31866,-0.12734,0.15582232189259665,0.40518,True,False
GPT-5.4,influenza_a,0.0,0.0,0.0,0.0,0.44483,0.009499479517905763,0.40833,0.14938032779898877,0.0,0.40833,-0.036500000000000005,0.1517623068412502,0.40355,True,False
GPT-5.4,mycoplasma_pneumonia,0.5,0.5270462766947299,0.0,0.0,0.446,0.00761825293474677,0.59467,0.10764145267197639,-0.5,0.59467,0.14867,0.10648583682558185,0.74297,True,True
