experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,1,75,5,0.2933,0.7513,-0.422,0.7059,0.2933,0.3917,0.2667,0.2667,0.3917,0.4383,-0.0466,-0.0466,0.2899,0.2931,0.4153,0.4901,0.4825,-0.0076,,0.4693,0.4901,0.4857,-0.0044,51,93,0,52,51,41,0.4283,0.2667,0.4368,0.4711,0.4843,0.4925,0.4838,0.488,15,285,242,"{""main_baseline_neutral"": 0.4283}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.4843}","{""main_baseline_neutral"": 0.01}",-0.023,,0.4483,0.3846,0.495,300,0.6923,-0.3846,9,4,2,12,2,1,0,support_report_1,positive_leaning,max_timestep,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,2,75,5,0.84,0.859,0.7179,1.8571,0.84,0.625,0.9333,0.9333,0.625,0.45,0.175,0.175,0.8286,0.959,0.5397,0.4914,0.5317,0.0403,,0.6365,0.4914,0.5049,0.0135,40,93,0,56,40,37,0.59,0.9333,0.5719,0.5,0.5328,0.6642,0.5259,0.5053,15,285,239,"{""main_baseline_neutral"": 0.59}","{""main_baseline_neutral"": 61}","{""main_baseline_neutral"": 0.5328}","{""main_baseline_neutral"": 0.0267}",0.0897,,0.595,1.0,0.59,300,0.9286,0.8571,1,13,0,3,3,8,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,3,75,5,0.2,0.7582,-0.3933,0.8235,0.2,0.365,0.1333,0.1333,0.365,0.435,-0.07,-0.07,0.2308,0.1897,0.407,0.4895,0.4756,-0.0139,,0.4497,0.4895,0.4818,-0.0077,43,101,0,56,43,45,0.3883,0.1333,0.4018,0.4339,0.4768,0.4396,0.4787,0.4832,15,285,242,"{""main_baseline_neutral"": 0.3883}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.4768}","{""main_baseline_neutral"": 0.0067}",-0.028,,0.4417,0.2857,0.48,300,0.7778,-0.5556,7,2,0,3,3,3,0,support_report_1,positive_leaning,max_timestep,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,4,75,5,0.8933,0.9091,0.8182,1.6667,0.8933,0.6367,1.0,1.0,0.6367,0.4633,0.1734,0.1734,0.8857,0.975,0.5521,0.4902,0.5389,0.0487,,0.6594,0.4902,0.5088,0.0186,32,98,0,59,32,39,0.6017,1.0,0.5807,0.5062,0.5404,0.6818,0.5329,0.5097,15,285,240,"{""main_baseline_neutral"": 0.6017}","{""main_baseline_neutral"": 60}","{""main_baseline_neutral"": 0.5404}","{""main_baseline_neutral"": 0.0433}",0.0888,,0.6033,1.0,0.5967,300,1.0,1.0,0,15,0,11,0,4,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,5,75,5,0.52,0.6919,0.2756,2.0556,0.52,0.4567,0.8667,0.8667,0.4567,0.4483,0.0084,0.0084,0.5362,0.6316,0.4156,0.4911,0.4964,0.0053,,0.5378,0.4911,0.4867,-0.0044,41,92,0,49,41,43,0.4767,0.8667,0.4561,0.4486,0.496,0.5899,0.491,0.4865,15,285,243,"{""main_baseline_neutral"": 0.4767}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.496}","{""main_baseline_neutral"": 0.0133}",-0.0327,,0.5083,1.0,0.5217,300,0.8667,0.7333,2,13,0,4,10,1,0,support_report_2,negative_leaning,max_timestep,5
